Ndex,Cameo Pokémon,Card name,Set,#,Notes
421,Cherrim,Illusion's Zorua,2010 Card Design Contest,Pokémon Fan,
,,Cherry Blossom Afro Pikachu,SM-P Promos,211,
,,Gardenia's Vigor,Crown Zenith,GG61,
423,Gastrodon,Cynthia's Ambition,Crown Zenith,GG60,
425,Drfiloon,Drifblim,DP Promos,34,
,,Spiky-Eared Pichu M,2009 Card Design Contest,Kindergarten,
,,Gourgeist,Art Academy Promo,rina,
,,Whimsicott,Unified Minds,144,
,,Champions Festival,SM Promos,78,
,,Clefable,Rebel Clash,75,
,,Turtwig,MEP Promos,40,
,,Greavard,Scarlet & Violet,214,plushie
426,Drifblim,Acerola's Mischief,Mega Evolution,183,plushie
427,Buneary,Tropical Wind,DP Promos,25,
,,Touch Exchange!,Miscellaneous Promos,-,
,,Poké Healer +,Stormfront,90,
,,Illusion's Zorua,2010 Card Design Contest,Pokémon Fan,
,,Lumiose City,Nihil Zero,77,picture
,,Felicity's Drawing,Great Encounters,98,plushie
428,Lopunny,Buneary,Fusion Strike,212,
,,Mega Lopunny ex,Phantasmal Flames,115,
,Mega Lopunny,Mawile,Cosmic Eclipse,140,
,,Poncho-wearing Pikachu,XY-P Promos,275,costume
429,Mismagius,Gourgeist,Art Academy Promo,rina,
,,Iono,Paldean Fates,237,
430,Honchkrow,Power Spray,Platinum,117,
431,Glameow,Bebe's Search,Mysterious Treasures,109,
,,,Secret Wonders,119,
,,,Rising Rivals,89,
,,Charmander,SV Promos,44,
432,Purugly,Power Spray,Platinum,117,
434,Stunky,Illusion's Zorua,2010 Card Design Contest,Pucchigumi,
,,Skuntank V,Silver Tempest,181,
,,Gapejaw Bog,Silver Tempest,213,
436,Bronzor,Pokémon Rescue,Platinum,115,
437,Bronzong,Poké Turn,Platinum,118,
,,Mewtwo,BW-P Promos,-,Jumbo
438,Bonsly,Warp Point,Majestic Dawn,88,
,,Pokémon Fan Club,Ultra Prism,133,plushie
,,,TCG Classic: Venusaur Deck,22,
,,,TCG Classic: Charizard Deck,22,
,,,TCG Classic: Blastoise Deck,24,
,,Pokémon Fan Club,Ultra Prism,155,
439,Mime Jr.,Energy Link,Stormfront,83,
,,Meowth M,Movie Random Pack,17,
440,Happiny,Spiky-Eared Pichu M,2009 Card Design Contest,Televi-Kun,
,,Illusion's Zorua,2010 Card Design Contest,1st Grade,
,,Blissey V,Chilling Reign,183,picture
,,Bebe's Search,Mysterious Treasures,109,mug
,,,Secret Wonders,119,
,,,Rising Rivals,89,
441,Chatot,Jigglypuff,DPt-P Promos,47,
,,Eevee,SM Promos,235,
,,Meditite,Stellar Crown,153,
442,Spiritomb,Gourgeist,Art Academy Promo,rina,
443,Gible,Poké Blower +,Stormfront,88,
445,Garchomp,Rayquaza,BW-P Promos,-,Jumbo
,,Cynthia,Hidden Fates,SV82,
,,Lucario,Unified Minds,117,
,,Meloetta,Unified Minds,123,
,,Victini ex,SV-P Promos,52,"this card was only released in Traditional Chinese, Indonesian, Thai, and Simplified Chinese"
,Mega Garchomp,Garchomp Spirit Link,XY Promos,169,
446,Munchlax,PokéPark's Torchic,PCG-P Promos,47,
,,Tropical Tidal Wave,Nintendo Promos,36,
,,Warp Point,Majestic Dawn,88,
,,Captain Pikachu,Pokémon Center promo,-,Jumbo
,,Croagunk,Melee! Pokémon Scramble,18,
,,Illusion's Zorua,2010 Card Design Contest,2nd Grade,
,,Professor Elm's Lecture,Lost Thunder,188a,
,,Bloodmoon Ursaluna ex,Twilight Masquerade,216,
,,Paradise Resort,SV Promos,224,
,,Piplup,MEP Promos,42,Pokémon Rock
447,Riolu,Mewtwo,BW-P Promos,-,Jumbo
,,Cofagrigus,Lost Thunder,100,statue
448,Lucario,Switch,Diamond & Pearl,119,
,,,Secret Wonders,128,
,,,Stormfront,93,
,,Poké Drawer +,Stormfront,89,
,,Illusion's Zoroark,2010 Card Design Contest,4th Grade,
,,Pokémon Enterprise,EX Battle Boost,99,
,,Passimian,Burning Shadows,79,
,,Cynthia,Hidden Fates,SV82,
,,Eri,Temporal Forces,210,
,,Mega Lucario ex,Mega Evolution,160,
,,Riolu,Scarlet & Violet,215,picture
,Mega Lucario,Pikachu,XY-P Promos,90,
,,Lucario Spirit Link,XY Promos,211,
,,Poncho-wearing Pikachu,XY-P Promos,203,costume
451,Skorupi,Drapion V,Crown Zenith,GG49,
452,Drapion,Eevee,SM-P Promos,371,
453,Croagunk,Tropical Wind,DP Promos,25,
,,Energy Link,Stormfront,83,
,,Raichu,Burning Shadows,41,
,,Galarian Slowpoke,SWSH Promos,126,
,,Piplup,MEP Promos,42,statue
454,Toxicroak,Energy Gain,Platinum,116,
,,Eri,Temporal Forces,210,
455,Carnivine,Pokémon Circulator,Unleashed,81,
,,Eevee,Undaunted,48,
456,Finneon,Captain Pikachu,Pokémon Center promo,-,Jumbo
,,Qwilfish,HeartGold & SoulSilver,50,
,,Eelektrik,Burning Shadows,45,
,,Lapras,Crown Zenith,GG05,
457,Lumineon,Captain Pikachu,Pokémon Center promo,-,Jumbo
,,Qwilfish,HeartGold & SoulSilver,50,
,,Goldeen,BREAKthrough,27,
,,Celebratory Fanfare,S-P Promos,306,
,,Relicanth,Temporal Forces,173,
,,Glameow,Unbroken Bonds,159,plushie
458,Mantyke,Vaporeon VMAX,SWSH Promos,182,
,,Lapras,Crown Zenith,GG05,
459,Snover,Pokémon Pal City,Hokkaidō Battle City Promo,-,
,,Abomasnow,Chilling Reign,10,
460,Abomasnow,Sneasel,Chilling Reign,30,
,,Mega Abomasnow ex,Mega Evolution,157,
,,Snover,Mega Evolution,140,footprints
,Mega Abomasnow,Mega Lucario ex,Mega Evolution,179,
,,Snover,Mega Evolution,140,footprints
461,Weavile,Power Spray,Platinum,117,
,,Tropical Wind,DP Promos,48,
,,Illusion's Zorua,2010 Card Design Contest,Pucchigumi,
,,All-Night Party,BREAKpoint,96,
,,Zeraora V,Chilling Reign,166,
,,Sneasel,MEP Promos,20,poster
462,Magnezone,Mewtwo-EX,BREAKthrough,164,
465,Tangrowth,Charizard VSTAR,SWSH Promos,262,
,,Mewtwo VSTAR,Crown Zenith,GG44,
466,Electivire,Magmortar,Furious Fists,11,
,,Magmortar,Brilliant Stars,20,
,,Magmortar,Crown Zenith,GG03,
467,Magmortar,Electivire,Furious Fists,30,
,,Electivire,Brilliant Stars,47,
,,Electivire,Crown Zenith,GG08,
470,Leafeon,Dawn Stadium,Majestic Dawn,79,
,,Interviewer's Questions,Unleashed,77,
,,,Call of Legends,79,
,,Pokémon Center,BW-P Promos,190,
,,Poncho-wearing Eevee,SM-P Promos,142,costume
471,Glaceon,Dawn Stadium,Majestic Dawn,79,
,,Grusha,Paldea Evolved,268,
,,Pokémon Center,BW-P Promos,190,
,,Poncho-wearing Eevee,SM-P Promos,143,costume
475,Mega Gallade,Gallade Spirit Link,Roaring Skies,83,
,,Poncho-wearing Pikachu,XY-P Promos,274,costume
476,Probopass,Pikachu,Art Academy Promo,Xime,
477,Dusknoir,Gourgeist,Art Academy Promo,rina,only partially visible
478,Froslass,Pikachu,Art Academy Promo,Ashley,
,,Gourgeist,Art Academy Promo,rina,
479,Rotom,Charon's Choice,Rising Rivals,RT6,
,,Ghetsis,Plasma Freeze,101,
,,Gourgeist,Art Academy Promo,rina,
,,Raichu,Evolving Skies,50,
,,Ishihara-GX,Miscellaneous Promos,TPCi01,
,Rotom Dex,Rotom Dex,Sun & Moon,131,
,,Rotom Dex,Sun & Moon,159,
,,Rotom Dex Poké Finder Mode,Burning Shadows,122,
,,Champions Festival,SM Promos,78,
,,Rotom Dex,GG End,53,
,,Rowlet,MEP Promos,43,
,,Champions Festival,SM Promos,231,picture
,Rotom Phone,Rotom Phone,Champion's Path,64,
,,Raihan,Evolving Skies,152,
,,Duraludon V,Evolving Skies,198,
,,Duraludon VMAX,Silver Tempest,TG21,
,,Raihan,Crown Zenith,140,
,,Raihan,Crown Zenith,GG65,
,,Iono,Paldea Evolved,269,
,,Tulip,Paradox Rift,181,
,,Clive,Paldean Fates,236,
,,Iono,Paldean Fates,237,
,,Raihan,SV-P Promos,130,
,,Cassiopeia,Shrouded Fable,94,
,,Iono's Bellibolt ex,Journey Together,183,
,,Iono's Wattrel,Ascended Heroes,231,
,,Canari,Ascended Heroes,185,
,,Canari,Ascended Heroes,257,
,,Canari,Ascended Heroes,291,
,,Levincia,Journey Together,150,picture
,,Levincia,Destined Rivals,244,
,Rotom Bike,Rotom Bike,Sword & Shield,181,
,,,Champion's Path,63,
,,Galarian Zapdos V,Astral Radiance,TG19,
,Drone Rotom,Drone Rotom,Vivid Voltage,151,
,Rotomi,Pokémon Center Lady,Vivid Voltage,185,
480,Uxie,Lake Boundary,Mysterious Treasures,112,
,,Time-Space Distortion,Mysterious Treasures,124,
,,Illusion's Zorua,2010 Card Design Contest,Televi-Kun,
481,Mesprit,Lake Boundary,Mysterious Treasures,112,
,,Time-Space Distortion,Mysterious Treasures,124,
,,Illusion's Zorua,2010 Card Design Contest,Televi-Kun,
482,Azelf,Lake Boundary,Mysterious Treasures,112,
,,Time-Space Distortion,Mysterious Treasures,124,
,,Illusion's Zorua,2010 Card Design Contest,Televi-Kun,
483,Dialga,Miracle Diamond,Battle Road Promos,-,
,,Championship Arena,Miscellaneous Promos,©2006,
,,Champion's League,Miscellaneous Promos,©2007,
,,Arceus,2009 Card Design Contest,4th Grade,
,,Zoroark and Legendary Pokémon,World of Illusions,-,Jumbo
,,Nosepass,Cosmic Eclipse,106,statue
484,Palkia,Mysterious Pearl,Battle Road Promos,-,
,,Championship Arena,Miscellaneous Promos,©2006,
,,Champion's League,Miscellaneous Promos,©2007,
,,Arceus,2009 Card Design Contest,4th Grade,
,,Zekrom,XY Promos,76,
,,Latios,XY Promos,79,
,,Skrelp,Cosmic Eclipse,91,statue
485,Heatran,Illusion's Zoroark,2010 Card Design Contest,4th Grade,
486,Regigigas,Illusion's Zoroark,2010 Card Design Contest,4th Grade,
487,Giratina,Arceus,2009 Card Design Contest,4th Grade,
,,Illusion's Zoroark,2010 Card Design Contest,4th Grade,
,,Rayquaza,BW-P Promos,-,Jumbo
,Origin Forme Giratina,Victory Medal,DPt-P Promos,31,
,,Wonder Platinum,DPt-P Promos,33,
,,Gourgeist,Art Academy Promo,rina,
,,Lucario,Unified Minds,117,
,,Meloetta,Unified Minds,123,
488,Cresselia,Moonlight Stadium,Great Encounters,100,
,,Spiky-Eared Pichu M,2009 Card Design Contest,Pokémon Fan,
,,Mewtwo-EX,BREAKthrough,164,
,,All-Night Party,BREAKpoint,96,
489,Phione,Empoleon,Legendary Treasures,35,
,,Manaphy,XY Promos,113,
490,Manaphy,Captain Pikachu,Pokémon Center promo,-,Jumbo
,,Arceus,2009 Card Design Contest,3rd Grade,
,,Illusion's Zoroark,2010 Card Design Contest,4th Grade,
,,Gyarados-EX,BREAKpoint,123,
,,Manaphy's Egg,VS: Sea's Manaphy,16,Egg
491,Darkrai,Moonlight Stadium,Great Encounters,100,
,,Illusion's Zoroark,2010 Card Design Contest,4th Grade,
492,Shaymin,Spiky-Eared Pichu M,2009 Card Design Contest,Televi-Kun,
,Sky Forme Shaymin,Tropical Wind,DP Promos,48,
,,Illusion's Zoroark,2010 Card Design Contest,4th Grade,
493,Arceus,Beginning Door,Arceus,82,
,,,DP Promos,54,this card only released in French
,,Ultimate Zone,Arceus,91,
,,,DP Promos,55,this card only released in French
,,Victory Medal,DPt-P Promos,36,
,,Ultimate Zone,DPt-P Promos,48,
,,Victory Medal,DPt-P Promos,51,
,,Spiky-Eared Pichu M,2009 Card Design Contest,Kindergarten,
,,Illusion's Zoroark,2010 Card Design Contest,4th Grade,
,,Celebratory Fanfare,S-P Promos,306,
,,Champions Festival,XY Promos,91,statue
,,Teddiursa,Cosmic Eclipse,171,
,,Temple of Sinnoh,Astral Radiance,155,
,,Temple of Sinnoh,Astral Radiance,214,
,,Klara,Chilling Reign,194,RKS Laboratories logo
,,,Chilling Reign,217,
,,Arc Phone,Lost Origin,152,Arc Phone
,,Bronzor,Astral Radiance,111,ring symbol
