Ndex,Cameo Pokémon,Card name,Set,#,Notes
16,Pidgey,Eevee,Hidden Fates,48,
,,Pikachu,151,173,
,,Machoke,151,177,
,,Charmander,SV Promos,44,
,,Snorlax,SV Promos,51,
,,Bulbasaur,Stellar Crown,143,
,,Squirtle,Stellar Crown,148,
,,Morty's Conviction,Temporal Forces,211,
,,Celebratory Fanfare,SV-P Promos,174,
,,Pikachu,Collection 151,170,this card was only released in Simplified Chinese
18,Pidgeot,Mew,Southern Islands,1,only partially visible
,,Onix,Southern Islands,3,
,Mega Pidgeot,Pidgeot Spirit Link,Evolutions,81,
19,Rattata,Lickitung,Southern Islands,16,
,,Light Jolteon,Neo Destiny,48,
,,Mew ex,Paldean Fates,232,
,,Team Rocket's Raticate,Destined Rivals,202,
,,Gumshoos,Mega Evolution,153,
,,Raticate,Nihil Zero,92,
20,Raticate,Ivysaur,Southern Islands,5,only partially visible
21,Spearow,Sunkern,How I Became a Pokémon Card,-,
,,Exeggcute,Roaring Skies,1,
,,Exeggutor,Roaring Skies,2,
,,Dragonite V,Evolving Skies,192,
22,Fearow,Relic Hunter,Skyridge,120,
,,Deino,Crimson Invasion,60,
,,Dragonite V,Evolving Skies,192,
,,Ditto,Skyridge,51,wall painting
,,Eevee,Skyridge,54,
23,Ekans,Pikachu,Collection 151,172,this card was only released in Simplified Chinese
24,Arbok,Challenge!,Team Rocket,74,
,,,Legendary Collection,106,
25,Pikachu,Mr. Fuji,Fossil,58,
,,No.1 Trainer,Official Tournament Promo,-,
,,No.2 Trainer,Official Tournament Promo,-,
,,No.3 Trainer,Official Tournament Promo,-,
,,Pokémon Illustrator,Miscellaneous Promos,-,
,,Pokémon Plaza,Miscellaneous Promos,-,Jumbo
,,Mewtwo Strikes Back,Miscellaneous Promos,-,Jumbo
,,Tropical Present,Miscellaneous Promos,early '99,Jumbo
,,Pokémon Valley,Miscellaneous Promos,-,Jumbo
,,Machop,Expansion Sheet 2,-,
,,Lucky Stadium,Wizards Promos,41,
,,No.1 Trainer,Battle Road Promo,-,"has prints in Neo and e-Card layouts, with both girl and boy trainers"
,,No.2 Trainer,Battle Road Promo,-,
,,No.3 Trainer,Battle Road Promo,-,
,,Lucky Stadium,Hokkaidō World Challenge Promo,-,
,,Pokémon Park,Aquapolis,131,
,,,POP Series 2,10,
,,Pokémon Center Tokyo,P Promos,19,
,,Tropical Tidal Wave,Nintendo Promos,27,
,,Pokémon Fan Club,POP Series 4,9,
,,Victory Medal,Battle Road Spring Promo,-,has prints in EX and DP layouts
,,Victory Medal,Battle Road Autumn Promo,-,
,,Tropical Tidal Wave,Nintendo Promos,36,
,,No.1 Trainer,World Championship Promo,-,"has prints in EX, DP, HS, and BW layouts"
,,No.2 Trainer,World Championship Promo,-,
,,No.3 Trainer,World Championship Promo,-,
,,No.4 Trainer,World Championship Promo,-,regular print in BW layout
,,Victory Ring,Battle Road Promo,©2005,
,,Pokémon Pal City,Kantō Battle City Promo,-,
,,Bulbasaur,DPt-P Promos,30,
,,Michina Temple,DPt-P Promos,44,
,,Arceus,2009 Card Design Contest,3rd Grade,
,,Arceus,2009 Card Design Contest,CoroCoro Comic,
,,Pokémon Communication,HeartGold & SoulSilver,98,
,,Slowpoke,Undaunted,66,
,,Tropical Tidal Wave,HGSS Promos,18,
,,Victory Medal,L-P Promos,31,
,,Victory Medal,L-P Promos,32,
,,Victory Medal,L-P Promos,33,
,,Illusion's Zorua,2010 Card Design Contest,Kindergarten,
,,Illusion's Zorua,2010 Card Design Contest,1st Grade,
,,Illusion's Zorua,2010 Card Design Contest,Pokémon Fan,
,,Tropical Beach,BW Promos,50,
,,Champions Festival,BW Promos,95,
,,Eevee,BW Promos,97,
,,Tepig,BW-P Promos,-,Jumbo
,,Oshawott,BW-P Promos,-,Jumbo
,,Rayquaza,BW-P Promos,-,Jumbo
,,Mewtwo,BW-P Promos,-,Jumbo
,,Inkay,XY-P Promos,-,Jumbo
,,Victory Ring,XY-P Promos,3rd,
,,Champions Festival,XY Promos,27,
,,No.1 Trainer,World Championship Promo,-,"has full art prints in XY, SM, and SWSH layouts"
,,No.2 Trainer,World Championship Promo,-,has full art prints in XY and SM layouts
,,No.3 Trainer,World Championship Promo,-,
,,No.4 Trainer,World Championship Promo,-,
,,Chikorita,Generations,RC1,
,,Snorunt,Generations,RC7,
,,Champions Festival,XY Promos,91,
,,Hoopa,XY-P Promos,155,
,,Champions Festival,XY Promos,176,
,,Togedemaru,Ash vs Team Rocket,6,
,,Tauros,Ash vs Team Rocket,14,
,,Victory Decoration,SM-P Promos,3rd,
,,Champions Festival,SM Promos,78,
,,Zeraora and Friends,SM-P Promos,-,Jumbo
,,Player's Ceremony,SM-P Promos,248,
,,Abareru-kun,SM-P Promos,320,
,,Champions Festival,SM Promos,148,
,,Player's Ceremony,SM-P Promos,398,
,,Snorlax,Unbroken Bonds,158,
,,Munna,Unified Minds,88,
,,Coach Trainer,Unified Minds,192,
,,Marshadow,Cosmic Eclipse,103,
,,Champions Festival,SM Promos,231,
,,Magikarp,Rebel Clash,39,
,,Special Delivery Charizard,SWSH Promos,75,
,,Player's Ceremony,S-P Promos,127,
,,Glaceon VMAX,Evolving Skies,209,
,,Celebratory Fanfare,S-P Promos,254,
,,Celebratory Fanfare,S-P Promos,306,
,,Champions Festival,SWSH Promos,296,
,,Victory Proof,S-P Promos,3rd,
,,Victory Symbol,SV-P Promos,3rd,
,,Celebratory Fanfare,SV-P Promos,110,
,,No.1 Trainer,World Championship Promo,-,full art print in SV layout
,,No.2 Trainer,World Championship Promo,-,
,,No.3 Trainer,World Championship Promo,-,
,,No.4 Trainer,World Championship Promo,-,
,,Paradise Resort,SV Promos,45,
,,Celebratory Fanfare,SV-P Promos,174,
,,Paradise Resort,SV Promos,150,
,,Terapagos & Friends,SV Promos,-,Jumbo
,,Paradise Resort,SV Promos,224,
,,Marshadow,Mega Evolution,146,
,,Celebratory Fanfare,MEP Promos,28,
,,Togepi,Southern Islands,4,only partially visible
,,Ivysaur,Southern Islands,5,
,,Machamp,Wizards Promos,43,
,,Larvitar,P Promos,5,
,,Ditto,Delta Species,39,Ditto's disguise
,,Ditto,Delta Species,63,
,,Ditto,XY Promos,40,
,,Ditto,SV-P Promos,173,Ditto's disguise; this card was only released in Korean
,,Ruin Wall,Crossing the Ruins...,-,shadow
,,Team Rocket's Meowth,Wizards Promos,18,silhouette
,,Pokémon Communication,Team Up,152b,
,,Mimikyu,SM Promos,163,
,,Mimikyu,SM-P Promos,289,
,,Chespin,Art Academy Promo,Gabi,
,,Bulbasaur,MEP Promos,37,
,,Copycat,Expedition,138,costume
,,,Team Rocket Returns,83,
,,,Dragon Frontiers,73,
,,,Celestial Storm,127,
,,Copycat,Celestial Storm,163,
,,Poké Kid,Sword & Shield,173,
,,Kirlia,Scarlet & Violet,212,
,,Pokémon Fan Club,Ultra Prism,133,clothing design
,,,TCG Classic: Venusaur Deck,22,
,,,TCG Classic: Charizard Deck,22,
,,,TCG Classic: Blastoise Deck,24,
,,Pokémon Fan Club,Ultra Prism,155,
,,Kieran,Twilight Masquerade,218,mask
,,Peonia,Chilling Reign,149,earrings
,,Peonia,Chilling Reign,196,
,,,Chilling Reign,219,
,,Cubone,BREAKthrough,77,backpack
,,Sabrina's ESP,Gym Heroes,117,plushie
,,Pokémon Center Lady,Flashfire,93,
,,,Generations,68,
,,Miriam,Scarlet & Violet,251,
,,Eevee,SV Promos,173,
,,Whimsicott,Fates Collide,71,pillow
,,Sophocles,Burning Shadows,123,robot
,,,Shining Legends,65,
,,Sophocles,Burning Shadows,146,
,,Arcade Game,Neo Genesis,83,picture
,,Arcade Game,"Gold, Silver, to a New World...",-,
,,Card-Flip Game,Neo Genesis,92,
,,Card-Flip Game ,"Gold, Silver, to a New World...",-,
,,Rotom Dex Poké Finder Mode,Burning Shadows,122,
,,Mimikyu,Lost Origin,80,
,,Influencer's Introduction,Start Deck 100 CoroCiao Version,19,
,,Ditto,Skyridge,51,wall painting
,,Eiscue,Paldea Evolved,205,drawing
,,Judge,BREAKthrough,143,balloon
,,Whimsicott,Unified Minds,144,
,,Drifloon,MEP Promos,5,
,,Drifblim,MEP Promos,6,
,,Skwovet,Scarlet & Violet,222,magnet
,,Snorunt,Cosmic Eclipse,47,snowman
,,Meowth,Unbroken Bonds,147,label
,,Cinccino,Legendary Treasures,RC19,sweets
,,Iono,Paldea Evolved,269,
,,Milcery,Stellar Crown,152,
,,Slurpuff,Ascended Heroes,94,
,,Rosa's Encouragement,Nihil Zero,115,
,,Elesa's Sparkle,Crown Zenith,147,amusement park fixture
,,Harlequin,White Flare,83,
,,Porygon-Z,Paradox Rift,214,sign
,,Toxtricity,Phantasmal Flames,103,
,,Pokémon Pal City,Chūbu Battle City Promo,-,Pikachu Dome
,,Pokémon Pal City,Chūgoku Battle City Promo,-,
,,Pokémon Pal City,Hokkaidō Battle City Promo,-,
,,Pokémon Pal City,Kansai Battle City Promo,-,
,,Pokémon Pal City,Kyūshū Battle City Promo,-,
,,Pokémon Pal City,Tōhoku Battle City Promo,-,
26,Raichu,Secret Mission,Gym Heroes,118,
,,Mr. Stone's Project,Emerald,79,
,,,Holon Phantoms,88,
,,,Dragon Frontiers,77,
,,Drifblim,Unified Minds,81,
,,Kangaskhan,Unified Minds,163,
,,Salvatore,Temporal Forces,212,
,,Sewaddle,Fusion Strike,9,only partially visible
,,Ruin Wall,Neo Discovery,74,shadow
,Alolan Raichu,Hau,Guardians Rising,144,
,,Drifblim,Unified Minds,81,
,,Kangaskhan,Unified Minds,163,
,,Hau,SM-P Promos,394,
,,Paradise Resort,SV Promos,150,
,,Salvatore,Temporal Forces,159,pin
,,Salvatore,Temporal Forces,202,
27,Sandshrew,Machoke,Expansion Sheet 3,-,
29,Nidoran♀,Nidoran♂,Dragon Frontiers,57,
,,Mew,Crown Zenith,GG10,
,,Pikachu,151,173,
30,Nidorina,Violence in the Safari Zone!,Expansion Sheet 3,-,
,,Eevee,Brilliant Stars,TG11,picture
,,Quaxly,Gem Pack Vol. 1,05 09,costume; this card was only released in Simplified Chinese
32,Nidoran♂,Nidoking,Steam Siege,45,
,,Mew,Crown Zenith,GG10,
,,Pikachu,151,173,
33,Nidorino,Violence in the Safari Zone!,Expansion Sheet 3,-,
,,Eevee,Brilliant Stars,TG11,picture
34,Nidoking,Giovanni's Last Resort,Gym Challenge,105,
35,Clefairy,Hypno,BREAKpoint,51,
,,Lillie,Ultra Prism,125a,
,,Celebratory Fanfare,MEP Promos,28,
,,Pokémon Communication,Team Up,152b,silhouette
,,Bulbasaur,MEP Promos,37,
,,Clefairy Doll,Base Set,70,Poké Doll
,,Sabrina's ESP,Gym Heroes,117,
,,Lillie,SM-P Promos,80,
,,Chansey,Lost Thunder,152,
,,Lillie's Poké Doll,Cosmic Eclipse,197,
,,Lillie's Poké Doll,Cosmic Eclipse,267,
,,Cosmog,Celebrations,13,
,,Purrloin,Brilliant Stars,90,
,,Gastly,Lost Origin,64,
,,Gengar,Gem Pack Vol. 3,03 07,Poké Doll; this card was only released in Simplified Chinese
,,Poltchageist,Twilight Masquerade,171,Pokéshi Doll
,,Sinistcha ex,Twilight Masquerade,210,
,,Salvatore,Temporal Forces,212,embroidery
36,Clefable,Mega Clefable ex,Nihil Zero,96,
,,Mega Clefable ex,Nihil Zero,112,
,,Clefairy,Nihil Zero,86,only partially visible
,,Jacinthe,Nihil Zero,116,sweets
37,Vulpix,Ouch! At the Pokémon Mansion,Expansion Sheet 3,-,
,,Tropical Present,Miscellaneous Promos,©2001,Jumbo
,,Pikachu,Pokémon Rumble,7,
,,Pikachu,Collection 151,173,this card was only released in Simplified Chinese
,,Poncho-wearing Pikachu,SM-P Promos,38,costume
,Alolan Vulpix,Sapporo's Pikachu,SM-P Promos,5,
,,Poncho-wearing Pikachu,SM-P Promos,37,costume
39,Jigglypuff,Recycle,Fossil,61,
,,Pokémon Plaza,Miscellaneous Promos,-,Jumbo
,,Tropical Wind,Tropical Mega Battle Promo,-,
,,Chatot,DPt-P Promos,32,
,,Spiky-Eared Pichu M,2009 Card Design Contest,Pucchigumi,
,,Wigglytuff,Unbroken Bonds,135,
,,Mawile,Cosmic Eclipse,140,
,,Saguaro,Paldea Evolved,270,
,,Pikachu,151,173,
,,Pikachu,Collection 151,171,this card was only released in Simplified Chinese
,,Wigglytuff,Phantasmal Flames,105,
,,Ledyba,Southern Islands,7,only partially visible
,,Machamp,Wizards Promos,43,
,,Team Rocket's Meowth,Wizards Promos,18,silhouette
,,Ludicolo,Detective Pikachu,2,sign
,,Card-Flip Game,Neo Genesis,92,picture
,,Card-Flip Game ,"Gold, Silver, to a New World...",-,
,,Milcery,Stellar Crown,152,sweets
,,Saguaro,Paldea Evolved,255,clothing design
,,Elesa's Sparkle,Crown Zenith,147,amusement park fixture
40,Wigglytuff,Grumpig,Fates Collide,31,
41,Zubat,Onix,Expansion Sheet 2,-,
,,Trash Exchange,Gym Heroes,126,
,,Magnifier,Neo Destiny,101,
,,Underground Expedition,Skyridge,140,
,,,Celestial Storm,150,
,,Pokémon Reversal,Ruby & Sapphire,87,
,,,FireRed & LeafGreen,97,
,,,Unseen Forces,88,
,,Drowzee,FireRed & LeafGreen,32,
,,Diglett,Fates Collide,36,
,,Team Rocket's Crobat ex,Destined Rivals,234,
,,Acerola,SM-P Promos,395,silhouette
,,Crobat,Silver Tempest,105,
42,Golbat,Pokémon Plaza,Miscellaneous Promos,-,Jumbo
,,Koga's Ninja Trick,Gym Challenge,115,
,,Staryu,Skyridge,104,
,,Zapdos,Pokémon Rumble,8,
,,Kricketune,Crown Zenith,GG02,
,,Team Rocket's Crobat ex,Destined Rivals,234,
,,Team Rocket's Meowth,Wizards Promos,18,silhouette
,,Acerola,SM-P Promos,395,
,,Crobat,Silver Tempest,105,
43,Oddish,Pokémon Plaza,Miscellaneous Promos,-,Jumbo
,,Warp Point,Gym Challenge,126,
,,,Expedition,152,
,,,Team Magma vs Team Aqua,85,
,,,Unseen Forces,93,
,,,Crystal Guardians,84,
,,,Diamond & Pearl,116,
,,Totodile,Expedition,134,
,,Energy Switch,Ruby & Sapphire,82,
,,,FireRed & LeafGreen,90,
,,,Unseen Forces,84,
,,,Power Keepers,75,
,,,Celestial Storm,129,
,,Light Toxtricity,SWSH Promos,137,
,,Gloom,Crown Zenith,2,
,,Mew ex,Paldean Fates,232,
,,Pikachu,Collection 151,170,this card was only released in Simplified Chinese
,,Bulbasaur,Pokémon GO,1,statue
,,Erika's Kindness,Gym Challenge ,103,umbrella 
,,Pikachu,Celebrations,5,only partially visible
,,Sabrina's ESP,Gym Heroes,117,plushie
,,Card-Flip Game,Neo Genesis,92,picture
,,Card-Flip Game ,"Gold, Silver, to a New World...",-,
,,Focus Band,Neo Genesis,86,
,,Cleffa,Unbroken Bonds,131,pot
44,Gloom,Erika's Perfume,Gym Heroes,110,
45,Vileplume,Venusaur-EX,XY Promos,123,
,,Gloom,Crown Zenith,2,only partially visible
,,Arcade Game,Neo Genesis,83,picture
,,Arcade Game,"Gold, Silver, to a New World...",-,
,,Good Manners,Gym Heroes,111,pot
46,Paras,Skuntank V,Silver Tempest,181,
47,Parasect,Pikachu,Celebrations,5,
,,Pikachu,Collection 151,172,this card was only released in Simplified Chinese
48,Venonat,Pidgeot,Southern Islands,2,
,,Onix,Southern Islands,3,
,,Lickitung,Southern Islands,16,
,,Pokémon Valley,Miscellaneous Promos,-,Jumbo
49,Venomoth,Butterfree,Southern Islands,9,
,,Primeape,Southern Islands,18,
,,Venonat,Skyridge,112,
50,Diglett,Flash,Expansion Sheet 2,-,
,,Farfetch'd,CoroCoro promo,-,
,,Lucky Stadium,Tōhoku World Challenge Promo,-,
,,Underground Expedition,Skyridge,140,
,,,Celestial Storm,150,
,,Professor Cozmo's Discovery,Deoxys,90,
,,,Holon Phantoms,89,
,,Fossil Excavator,Mysterious Treasures,111,
,,,Majestic Dawn,82,
,,Illusion's Zorua,2010 Card Design Contest,2nd Grade,
,,Illusion's Zorua,2010 Card Design Contest,Pokémon Fan,
,,Onix,Lost Thunder,109,
,,,TCG Classic: Venusaur Deck,10,
,,Dugtrio,Sword & Shield,93,
,,Skorupi,Sword & Shield,121,
,,Skuntank V,Silver Tempest,181,
,,Charizard VSTAR,SWSH Promos,262,
,,Mewtwo VSTAR,Crown Zenith,GG44,
,,Dudunsparce,Paldea Evolved,229,
,,Snorlax,SV Promos,51,
,,Garganacl,Paradox Rift,202,
,,Mew ex,Paldean Fates,232,
,,Cara Liss,Vivid Voltage,149,statue
51,Dugtrio,Flash,Expansion Sheet 2,-,
,,Illusion's Zorua,2010 Card Design Contest,2nd Grade,
,,Machamp V,Astral Radiance,172,
,,Pokédex,Base Set,87,picture
,,,Base Set 2,115,
,,,Evolutions,82,
,Alolan Dugtrio,Floette,Cosmic Eclipse,151,
52,Meowth,20 Damage from Confusion,Expansion Sheet 3,-,
,,Here Comes Team Rocket!,Team Rocket,15,
,,,Team Rocket,71,
,,,Evolutions,113,
,,,Celebrations,15,
,,Pokémon Center Osaka,P Promos,20,
,,PokéPark's Torchic,PCG-P Promos,47,
,,Pokémon Pal City,Kansai Battle City Promo,-,
,,Pokémon Fan Club,POP Series 4,9,
,,Captain Pikachu,Pokémon Center promo,-,Jumbo
,,Meloetta,BW Promos,69,
,,Tepig,BW-P Promos,-,Jumbo
,,Pikachu,BW-P Promos,©2011,Jumbo
,,Pikachu,BW-P Promos,©2013,Jumbo
,,Inkay,XY-P Promos,-,Jumbo
,,Inkay,Roaring Skies,41,
,,Here Comes Team Rocket!,XY-P Promos,278,
,,Team Rocket's Mimikyu-GX,Ash vs Team Rocket,10,
,,Bewear,Ash vs Team Rocket,18,
,,Jessie & James,Hidden Fates,68,
,,Chikorita,SM-P Promos,373,
,,Litten,SM-P Promos,374,
,,Machoke,151,177,
,,Garganacl,Paradox Rift,202,
,,Gastly,Temporal Forces,177,
,,Radio Tower,Neo Destiny,95,balloon
,,Vigoroth,Paldea Evolved,161,sign
,,Litten,Temporal Forces,167,lucky cat
,Alolan Meowth,Litten,Temporal Forces,167,picture
53,Persian,Rocket's Admin.,Team Rocket Returns,86,
,,,Celebrations,86,
,,,TCG Classic: Venusaur Deck,26,
,,,TCG Classic: Charizard Deck,25,
,,,TCG Classic: Blastoise Deck,27,
,,Giovanni's Scheme,XY-P Promos,277,
,,Giovanni's Charisma,151,204,
,,Giovanni's Exile,Unbroken Bonds,174,picture
,,,Hidden Fates,57,
,,Team Rocket's Wobbuffet,SV Promos,203,sign
54,Psyduck,Pikachu's Summer Vacation,Miscellaneous Promos,-,Jumbo
,,Pokémon Valley,Miscellaneous Promos,-,Jumbo
,,Machop,Expansion Sheet 2,-,
,,Misty's Wrath,Gym Heroes,114,
,,Sabrina's Psychic Control,Gym Challenge,121,
,,Tropical Wind,Tropical Mega Battle Promo,-,
,,Slowking,Southern Islands,14,
,,Tropical Breeze,VS: Tropical Mega Battle,-,
,,Tropical Wind,Nintendo Promos,26,
,,Tropical Tidal Wave,Nintendo Promos,27,
,,PokéPark's Mudkip,PCG-P Promos,48,
,,Tropical Tidal Wave,Nintendo Promos,36,
,,Tropical Wind,DP Promos,5,
,,Tropical Wind,DP Promos,25,
,,Tropical Wind,DP Promos,48,
,,Tropical Tidal Wave,HGSS Promos,18,
,,Tropical Beach,BW Promos,28,
,,Tropical Beach,BW Promos,50,
,,Champions Festival,BW Promos,95,
,,Champions Festival,XY Promos,91,
,,Champions Festival,XY Promos,176,
,,Champions Festival,SM Promos,78,
,,Champions Festival,SM Promos,148,
,,Farfetch'd,Team Up,127,
,,Champions Festival,SM Promos,231,
,,Floette,Cosmic Eclipse,151,
,,Champions Festival,SWSH Promos,296,
,,Wiglett,Scarlet & Violet,206,
,,Pikachu,151,173,
,,Paradise Resort,SV Promos,45,
,,Clive,Paldean Fates,236,
,,Chansey,Twilight Masquerade,187,
,,Paradise Resort,SV Promos,150,
,,Pikachu,Collection 151,171,this card was only released in Simplified Chinese
,,Paradise Resort,SV Promos,224,
,,Eevee,SM-P Promos,287,silhouette
,,Pikachu,XY-P Promos,©2014,snowman; Jumbo
,,Champions Festival,XY Promos,27,boat
56,Mankey,Primeape,Steam Siege,53,
,,Martial Arts Dojo,Cosmic Eclipse,268,
57,Primeape,Pokémon Retransfer,Expansion Sheet 3,-,
,,,Pokémon Web,32,
,,Choice Band,Guardians Rising,121a,
58,Growlithe,Erika's Kindness,Gym Challenge,103,
,,Ouch! At the Pokémon Mansion,Expansion Sheet 3,-,
,,No.1 Trainer,Battle Road Promo,-,"has prints in Neo and e-Card layouts, with both girl and boy trainers"
,,No.2 Trainer,Battle Road Promo,-,
,,No.3 Trainer,Battle Road Promo,-,
,,Pokémon Fan Club,Aquapolis,130,
,,Scorbunny,SWSH Promos,244,
,,Pikachu,151,173,
,,Detective Pikachu,SV-P Promos,98,
,Hisuian Growlithe,Perrin,Twilight Masquerade,220,
,,Ambipom,Twilight Masquerade,138,statue
60,Poliwag,Mr. Fuji,Fossil,58,
,,Pokémon Plaza,Miscellaneous Promos,-,Jumbo
,,Fisherman,Skyridge,125,
,,Mew ex,Paldean Fates,232,
,,Card-Flip Game,Neo Genesis,92,picture
,,Card-Flip Game ,"Gold, Silver, to a New World...",-,
,,Perrin,Twlight Masquerade,160,sign
,,Quaxly,Paldea Evolved,206,bottle
61,Poliwhirl,Magikarp ,Expedition ,118,
,,Fisherman,Skyridge,125,
,,Trade Please!,Miscellaneous Promos,-,
,,,XY-P Promos,282,
,,Sabrina's ESP,Gym Heroes,117,plushie
,,Quaxwell,Paldea Evolved,207,bottle
,,Team Rocket's Wobbuffet,SV Promos,203,can
,,Firefighter Pikachu,SM-P Promos,209,matoi
62,Poliwrath,Fisherman,Skyridge,125,
,,Quaquaval ex,Paldea Evolved,260,bottle
64,Kadabra,Bill's PC,Expansion Sheet 3,-,
,,The Last Cave – Cerulean!,Expansion Sheet 3,-,
65,Mega Alakazam,Lucario,Fates Collide,63,
,,Alakazam Spirit Link,Fates Collide,90,
66,Machop,Focus Band,Neo Genesis,86,
,,Lacey,Stellar Crown,172,artwork
67,Machoke,Bill's PC,Expansion Sheet 3,-,
,,Pokémon Fan Club,Aquapolis,130,
,,Hitmonlee,Furious Fists,47,
,,,Generations,47,
68,Machamp,Challenge!,Team Rocket,74,
,,,Legendary Collection,106,
,,Mewtwo,BW-P Promos,-,Jumbo
