Ndex,Cameo Pokémon,Card name,Set,#,Notes
,,Moomoo Milk,"Gold, Silver, to a New World...",-,
163,Hoothoot,Double Gust,Neo Genesis,100,
,,Pokémon March,Neo Genesis,102,
,,Town Volunteers,Aquapolis,136,
,,Sage's Training,Undaunted,77,
,,,Call of Legends,85,
164,Noctowl,Forest Guardian,Aquapolis,123,
,,Psyduck,SM Promos,199,"sign, only partially visible"
166,Ledian,Aether Paradise Conservation Area,Hidden Fates,SV87,
167,Spinarak,Ivysaur,Pokémon GO,2,
169,Crobat,All-Night Party,BREAKpoint,96,
,,Pikachu,Crown Zenith,160,
,,Celebratory Fanfare,S-P Promos,254,
170,Chinchou,Captain Pikachu,Pokémon Center promo,-,Jumbo
,,Galarian Articuno V,Chilling Reign,170,
,,Lumineon V,Crown Zenith,GG39,
171,Lanturn,Lumineon V,Crown Zenith,GG39,
,,Yokohama's Pikachu,SM-P Promos,280,submarine
172,Pichu,Lucky Stadium,Wizards Promos,41,
,,Pokémon Fan Club,Aquapolis,130,
,,Pokémon Pal City,Kantō Battle City Promo,-,
,,Pokémon Collector,HeartGold & SoulSilver,97,
,,Illusion's Zorua,2010 Card Design Contest,Pokémon Fan,
,,Professor Elm's Lecture,Lost Thunder,188a,
,,Ethan's Adventure,Destined Rivals,236,
,,Team Rocket's Trickery,Undaunted,78,silhouette
,,Pokémon Fan Club,Ultra Prism,133,costume
,,,TCG Classic: Venusaur Deck,22,
,,,TCG Classic: Charizard Deck,22,
,,,TCG Classic: Blastoise Deck,24,
,,Pokémon Fan Club,Ultra Prism,155,
,Spiky-Eared Pichu,Arceus,2009 Card Design Contest,CoroCoro Comic,
,,Michina Temple,DPt-P Promos,44,
173,Cleffa,Moo-Moo Milk,Neo Genesis,101,
,,,Expedition,155,
,,Broken Ground Gym,Neo Destiny,92,
,,Tropical Breeze,VS: Tropical Mega Battle,-,
,,Paradise Resort,SV Promos,224,
175,Togepi,Pokémon Valley,Miscellaneous Promos,-,Jumbo
,,New Century Present,Miscellaneous Promos,-,Jumbo
,,Light Jolteon,Neo Destiny,48,
,,Professor Elm's Lecture,Lost Thunder,188a,
,,Ivysaur,Southern Islands,5,only partially visible
,,Pikachu,XY-P Promos,-,picture
176,Togetic,Togepi,Team Rocket Returns,50,shadow
177,Natu,Bouffalant,Legendary Treasures,107,
,,Morpeko,SWSH Promos,31,
,,Cofagrigus,Lost Thunder,100,statue
178,Xatu,Mew,Art Academy Promo,Phanpy,this card was only released in German
,,Natu,Sandstorm,69,silhouette
,,Pikachu Wearing a Batik Shirt,SV-P Promos,154,clothing design; this card was only released in Indonesian
179,Mareep,Tropical Present,Miscellaneous Promos,early '99,Jumbo
,,Double Gust,Neo Genesis,100,
,,Pokémon March,Neo Genesis,102,
,,Twins,Triumphant,89,
,,Banette,Ascended Heroes,234,ornament
180,Flaaffy,Celebratory Fanfare,S-P Promos,254,
181,Ampharos,Mary's Request,Unseen Forces,86,
,,Lightning Energy,HeartGold & SoulSilver,118,silhouette
,,,2010 World Championships Decks,-,
,,,Call of Legends,91,
,Mega Ampharos,Ampharos Spirit Link,Ancient Origins,70,
,,Poncho-wearing Pikachu,XY-P Promos,274,costume
182,Bellossom,Flower Shop Lady,Undaunted,74,
,,Illusion's Zorua,2010 Card Design Contest,Pokémon Fan,
,,Pretend Tea Ceremony Pikachu,SM-P Promos,325,
,,Gardenia's Vigor,Crown Zenith,GG61,
183,Marill,Pokémon Valley,Miscellaneous Promos,-,Jumbo
,,Tropical Present,Miscellaneous Promos,late '99,Jumbo
,,No.1 Trainer,Battle Road Promo,-,"has prints in Neo and e-Card layouts, with both girl and boy trainers"
,,Energy Switch,Aquapolis,120,
,,Switch,HeartGold & SoulSilver,102,
,,Twins,Triumphant,89,
,,Tropical Tidal Wave,HGSS Promos,18,
,,Pretend Tea Ceremony Pikachu,SM-P Promos,325,
,,Glaceon VMAX,Evolving Skies,209,
,,Grotle,Temporal Forces,164,
,,Cincinno,Temporal Forces,183,
,,Energy Removal 2,Expedition,140,silhouette
,,,Ruby & Sapphire,80,
,,,FireRed & LeafGreen,89,
,,,Unseen Forces,82,
,,,Power Keepers,74,
,,Pikachu,XY-P Promos,-,picture
184,Azumarill,Pokémon Personality Test,Neo Destiny,102,
,,Kingdra,Burning Shadows,31,
,,Glaceon VMAX,Evolving Skies,209,
185,Sudowoodo,Flower Shop Lady,Undaunted,74,
,,Zeraora and Friends,SM-P Promos,-,Jumbo
,,Fighting Energy,HeartGold & SoulSilver,120,silhouette
,,,2010 World Championships Decks,-,
,,,Call of Legends,93,
186,Politoed,Fisherman,Skyridge,125,
,,Pretend Tea Ceremony Pikachu,SM-P Promos,325,
187,Hoppip,Tropical Present,Miscellaneous Promos,early '99,Jumbo
,,Double Gust,Neo Genesis,100,
,,Pokémon March,Neo Genesis,102,
,,Tropical Present,Miscellaneous Promos,©2001,Jumbo
,,Tropical Tidal Wave,HGSS Promos,18,
,,Pikachu,SM Promos,234,
,,Medicham V,Evolving Skies,186,
,,Garganacl,Paradox Rift,202,
,,Clive,Paldean Fates,236,
188,Skiploom,Medicham V,Evolving Skies,186,
189,Jumpluff,Skiploom,Lost Thunder,13,
,,Medicham V,Evolving Skies,186,
,,Pikachu,XY-P Promos,-,picture
190,Aipom,Chansey,Expedition,72,
,,Captain Pikachu,Pokémon Center promo,-,Jumbo
,,Pikachu at the Museum,MEP Promos,-,gargoyle; Jumbo
191,Sunkern,Apricorn Maker,Skyridge,121,
,,,Celestial Storm,124,
,,Inkay,XY-P Promos,-,Jumbo
,,Apricorn Maker,Celestial Storm,161,
192,Sunflora,Pokémon Breeder Fields,Neo Revelation,62,
,,Artazon,Paldea Evolved,171,statue
,,,Paldean Fates,76,
,,Foongus,Obsidian Flames,9,
,,Artazon,Obsidian Flames,229,
193,Yanma,Spinarak,Twlight Masquerade,4,logo
,,Caretaker,Twlight Masquerade,144,
,,Community Center,Twlight Masquerade,146,
,,Caretaker,Twlight Masquerade,203,
194,Wooper,Pokémon Nurse,Expedition,145,
,,,TCG Classic: Venusaur Deck,23,
,,Energy Switch,Aquapolis,120,
,,Town Volunteers,Aquapolis,136,
,,Fisherman,HeartGold & SoulSilver,92,
,,Gardevoir ex,Paldean Fates,233,
,,Lana's Aid,Twlight Masquerade,219,
195,Quagsire,Kangaskhan,Destined Rivals,204,
196,Espeon,Pokémon Center,BW-P Promos,190,
,,Drapion,BREAKpoint,54,
,,Psychic Energy,HeartGold & SoulSilver,119,silhouette
,,,2010 World Championships Decks,-,
,,,Call of Legends,92,
,,Poncho-wearing Eevee,SM-P Promos,140,costume
197,Umbreon,Illusion's Zorua,2010 Card Design Contest,Pucchigumi,
,,Pokémon Center,BW-P Promos,190,
,,Oracle,Skyridge,138,
,,All-Night Party,BREAKpoint,96,
,,Alakazam-EX,Fates Collide,125,
,,Karen,XY Promos,177,
,,Penny,Paldean Fates,239,
,,Darkness Energy,HeartGold & SoulSilver,121,silhouette
,,,Call of Legends,94,
,,Poncho-wearing Eevee,SM-P Promos,141,costume
198,Murkrow,Illusion's Zorua,2010 Card Design Contest,Pucchigumi,
,,Pokémon March,Neo Genesis,102,
,,Honchkrow,Guardians Rising,79,
,,Honchkrow V,Brilliant Stars,162,
,,Temple of Sinnoh,Astral Radiance,214,
,,Honchkrow,Phantasmal Flames,58,
199,Slowking,Pretend Tea Ceremony Pikachu,SM-P Promos,325,
200,Misdreavus,Beldum,Unleashed,44,
,,Mewtwo,BW-P Promos,-,Jumbo
,,Gourgeist,Art Academy Promo,rina,
,,Mismagius,Crimson Invasion,40,
201,Unown,Ruins of Alph,Undaunted,76,
,,Pikachu,SM Promos,234,
,,Ruin Wall,Neo Discovery,74,carving
,,Energy Ark,Neo Discovery,75,
,,Ruin Wall,Crossing the Ruins...,-,
,,Eevee,Premium File 2,-,
,,Alph Lithograph,HeartGold & SoulSilver,ONE,
,,Alph Lithograph,Unleashed,TWO,
,,Alph Lithograph,Undaunted,THREE,
,,Alph Lithograph,Triumphant,FOUR,
,,Golurk V,Evolving Skies,182,
,,Genesect V,Fusion Strike,255,graffiti
202,Wobbuffet,Thought Wave Machine,Neo Destiny,96,
,,Meowth M,Movie Random Pack,17,
,,Energy Switch,HeartGold & SoulSilver,91,
,,Bewear,Ash vs Team Rocket,18,
,,Jessie & James,Hidden Fates,68,
206,Dunsparce,Mismagius,Unleashed,5,
,,Dudunsparce,Paldea Evolved,229,
,,Last Chance Potion,Celestial Storm,135,picture
207,Gligar,Golurk,Ancient Origins,41,
208,Steelix,Metal Energy,HeartGold & SoulSilver,122,silhouette
,,,2010 World Championships Decks,-,
,,,Call of Legends,95,
,,Boss's Orders [Corbeau],Ascended Heroes,183,banner
,,Boss's Orders [Corbeau],Ascended Heroes,256,
,Mega Steelix,Steelix Spirit Link,Steam Siege,106,
209,Snubbull,Floette,BREAKthrough,102,
,,Lt. Yoshida,Great Detective Pikachu,25,
,,Morpeko,Shining Fates,36,
211,Qwilfish,Pokémon Pal City,Chūgoku Battle City Promo,-,
,,Tornadus V,Chilling Reign,185,
,Hisuian Qwilfish,Hisuian Lilligant V,Astral Radiance,163,
212,Mega Scizor,Scizor Spirit Link,BREAKpoint,111,
213,Shuckle,Morpeko,Shining Fates,35,
214,Heracross,Beautifly M,Movie Random Pack,3,
,,Weedle,Chilling Reign,1,
,,Mega Heracross ex,Phantasmal Flames,108,
215,Sneasel,Illusion's Zorua,2010 Card Design Contest,Pucchigumi,
,,Team Rocket's Wobbuffet,SV Promos,203,
,,Battle Cage,Phantasmal Flames,116,
,Hisuian Sneasel,Hisuian Sneasler V,Astral Radiance,175,
216,Teddiursa,Pokémon Pal City,Hokkaidō Battle City Promo,-,
,,Ursaring,Legendary Treasures,RC16,
,,Ice Rider Calyrex V,Chilling Reign,164,
,,Bloodmoon Ursaluna ex,Twilight Masquerade,216,
,,Phanpy,Vivid Voltage,86,plushie
,,Salvatore,Temporal Forces,212,wood carving
218,Slugma,Ethan's Adventure,Destined Rivals,236,
220,Swinub,Light Piloswine,Neo Destiny,26,
,,Hisuian Lilligant V,Astral Radiance,163,
222,Corsola,Tropical Tidal Wave,Nintendo Promos,27,
,,Mareanie,Darkness Ablaze,51,
,,Incineroar,Silver Tempest,32,
223,Remoraid,Mantine,Mysterious Treasures,29,this is the only Mantine card to have a Remoraid other than the one under its wing
,,Vaporeon,Ancient Origins,22,
,,Vaporeon VMAX,SWSH Promos,182,
,,Lapras,Crown Zenith,GG05,
224,Octillery,Remoraid,Battle Styles,36,
225,Delibird,Saguaro,Paldea Evolved,270,
226,Mantine,Vaporeon,Ancient Origins,22,
,,Vaporeon VMAX,SWSH Promos,182,
,,Lapras,Crown Zenith,GG05,
,,Paradise Resort,SV Promos,150,
227,Skarmory,Mega Skarmory ex,Nihil Zero,99,
,,Ho-Oh,Neo Revelation,18,only partially visible
,,,Lost Thunder,160,
228,Houndour,Celebratory Fanfare,S-P Promos,254,
229,Mega Houndoom,Houndoom Spirit Link,BREAKthrough,142,
231,Phanpy,Hassel,Twilight Masquerade,151,"drawing, only partially visible"
232,Donphan,Pikachu,SM Promos,234,
,,Victini ex,SV-P Promos,52,"this card was only released in Traditional Chinese, Indonesian, Thai, and Simplified Chinese"
,,Phanpy,Surging Sparks,205,
233,Porygon2,Switch,Expedition,157,
,,Pokémon Reversal,HeartGold & SoulSilver,99,
,,Porygon-Z,Paradox Rift,214,figure
234,Stantler,Pokémon Pal City,Kansai Battle City Promo,-,
235,Smeargle,Mew V,Fusion Strike,251,
,,Genesect V,Fusion Strike,255,
,,Bibarel,Pokémon GO,60,
,,Champions Festival,SM Promos,231,drawing
236,Tyrogue,Hitmontop,Aquapolis,82,
,,Eevee,SM Promos,235,
237,Hitmontop,Tyrogue,Aquapolis,63,
,,Tyrogue,P Promos,23,
238,Smoochum,Tropical Breeze,VS: Tropical Mega Battle,-,
,,Pokémon Fan Club,Aquapolis,130,
,,Pokémon Collector,HeartGold & SoulSilver,97,
239,Elekid,Pokémon Valley,Miscellaneous Promos,-,Jumbo
,,Broken Ground Gym,Neo Destiny,92,
240,Magby,Pokémon Fan Club,POP Series 4,9,
,,Pokémon Pal City,Kyūshū Battle City Promo,-,
241,Miltank,Pokémon Breeder,Shining Legends,63,
,,Pokémon Breeder,Shining Legends,73,
,,Orbeetle VMAX,Lost Origin,TG13,
,,Moo-Moo Milk,Neo Genesis,101,picture
,,,Expedition,155,
,,Moomoo Milk,HeartGold & SoulSilver,94,
,,Moomoo Milk,Lost Thunder,185,
,,Moomoo Cheese,Vivid Voltage,156,
,,Inkay,Chilling Reign,69,
242,Blissey,Chansey,Twilight Masquerade,187,
243,Raikou,Burned Tower,Undaunted,71,
,,Illusion's Zoroark,2010 Card Design Contest,4th Grade,
,,Illusion's Zoroark,2010 Card Design Contest,CoroCoro Ichiban!,
,,Entei,POP Series 2,1,only partially visible
244,Entei,Latias and Latios,J Promos,2,Jumbo
,,Burned Tower,Undaunted,71,
,,Illusion's Zoroark,2010 Card Design Contest,4th Grade,
,,Illusion's Zoroark,2010 Card Design Contest,CoroCoro Ichiban!,
,,Tauros,POP Series 2,5,only partially visible
245,Suicune,Burned Tower,Undaunted,71,
,,Illusion's Zoroark,2010 Card Design Contest,4th Grade,
,,Illusion's Zoroark,2010 Card Design Contest,CoroCoro Ichiban!,
,,Pretend Tea Ceremony Pikachu,SM-P Promos,325,
246,Larvitar,Probopass,Twilight Masquerade,182,
,,Pikachu,P Promos,4,only partially visible
247,Pupitar,Larvitar,Lost Thunder,114,sand sculpture
248,Tyranitar,Larvitar,Lost Thunder,114,sand sculpture
,Mega Tyranitar,Tyranitar Spirit Link,Ancient Origins,81,
249,Lugia,Lucky Stadium,Kantō World Challenge Promo,-,
,,Latias and Latios,J Promos,2,Jumbo
,,Illusion's Zoroark,2010 Card Design Contest,4th Grade,
,,Illusion's Zoroark,2010 Card Design Contest,CoroCoro Ichiban!,
,,Alakazam-EX,Fates Collide,125,
,,Hoopa,XY-P Promos,155,
,,Zeraora and Friends,SM-P Promos,-,Jumbo
,,Regidrago V,Silver Tempest,184,
,,Ho-Oh,Neo Revelation,18,only partially visible
,,,Lost Thunder,160,
,,Water Energy,HeartGold & SoulSilver,117,silhouette
,,,Call of Legends,90,
,,Okuge-sama and Maiko-han Pikachu,XY-P Promos,221,
,,Umbreon ,Neo Discovery ,32,carving
250,Ho-Oh,Lucky Stadium,Kansai World Challenge Promo,-,
,,No.1 Trainer,Neo Summer Road Best in Japan,-,
,,No.2 Trainer,Neo Summer Road Best in Japan,-,
,,No.3 Trainer,Neo Summer Road Best in Japan,-,
,,Illusion's Zoroark,2010 Card Design Contest,4th Grade,
,,Illusion's Zoroark,2010 Card Design Contest,CoroCoro,
,,Illusion's Zoroark,2010 Card Design Contest,CoroCoro Ichiban!,
,,Celebratory Fanfare,MEP Promos,28,
,,Lugia,Neo Revelation,20,only partially visible
,,Skarmory,Neo Revelation,23,
,,Illusion's Zoroark,2010 Card Design Contest,3rd Grade,
,,Fire Energy,HeartGold & SoulSilver,116,silhouette
,,,Call of Legends,89,
,,Okuge-sama and Maiko-han Pikachu,XY-P Promos,221,kimono
,,Tropical Present,Miscellaneous Promos,©2001,fireworks; Jumbo
,,Golbat,Skyridge,60,geoglyph
,,Skarmory,Skyridge,97,
,,Yanma,Skyridge,116,
251,Celebi,New Century Present,Miscellaneous Promos,-,Jumbo
,,Latias and Latios,J Promos,2,Jumbo
,,Championship Arena,Nintendo Promos,28,
,,Indigo Plateau,Triumphant,86,
,,Illusion's Zorua,2010 Card Design Contest,Pokémon Fan,
,,Illusion's Zoroark,2010 Card Design Contest,4th Grade,
,,Master's Key,L-P Promos,68,
,,Grass Energy,HeartGold & SoulSilver,115,silhouette
,,,2010 World Championships Decks,-,
,,,Call of Legends,88,
